,State,cases,deaths,AGI Total,AGI Top 1 Percent,AGI Top 5 Percent,AGI Top 10 Percent,AGI Top 25 Percent,AGI Top 50 Percent,AGI Top 75 Percent,Total Population,Total population_Male,Total population_Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,RACE_Total population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Total population_HISPANIC OR LATINO,4th 2015 Math,4th 2015 Science,8th 2015 Math,8th 2015 Science,Labor Force w/ Bachelor 2018,Labor Force Participants 2018,Percent of Labor Force w/ Bachelor 2018,Doctorate From Doc Inst 2018,Doctorate From Bach Inst 2018,Total Doctorate Degrees 2018,Less Than HS Diploma 14-18,HS Diploma 14-18,Some College or Associate Degree 14-18,Bachelor Degree or Higher 14-18,ELL Students Enrolled 2017,Population Per State (2014),Total Health Insurance Enrollment Per State (2014),Total Health Insurance Enrollment (Percent),Medicare Enrollment Per State (2014),Medicare Enrollment (Percent),Medicaid Enrollment Per State (2014),Medicaid Enrollment (Percent),Private Enrollment Per State (2014),Private Enrollment (Percent),Personal Health Care Expenses Per State (2014),Hospital Services Expenses Per State (2014),Physician and Clinical Services Expenses Per State (2014),Other Professional Services Expenses Per State (2014),Home Health Care Expenses Per State (2014),Drugs and Non-Durables Expenses Per State (2014),Durables Expenses Per State (2014),Other Health Care Expenses Per State (2014),Total Health Care Expenses Per State (2014),Personal Health Care Expenses Per State Capita (2014),Hospital Services Expenses Per State Capita (2014),Physician and Clinical Services Expenses Per State Capita (2014),Other Professional Services Expenses Per State Capita (2014),Home Health Care Expenses Per State Capita (2014),Drugs and Non-Durables Expenses Per State Capita (2014),Durables Expenses Per State Capita (2014),Other Health Care Expenses Per State Capita (2014),Total Health Care Expenses Per State Capita (2014),All Occupations 2018,Computer Mathematical Scientists 2018,Computer Mathematical Scientists 2018 (Percent),Engineers 2018,Engineers 2018 (Percent),Life Scientists 2018,Life Scientists 2018 (Percent),Physical Scientists 2018,Physical Scientists 2018 (Percent),Science Engineer Workers 2018,Science Engineer Workers 2018 (Percent),Social Scientists 2018,Social Scientists 2018 (Percent),Technical Workers 2018,Technical Workers 2018 (Percent),Public School Expenditure 2016(Thousands),State GDP(Millions),School Expenditures per State GDP(Percent),Student Enrollment,School Expenditures per Student Enrollment(Percent),Public School Salary 2018(Dollars)
25,Missouri,395952,17924,173130847,28163355,53131079,72303155,110588585,147135646,166087991,6126452,3003165,3123287,370408,373737,401199,391923,406398,819132,742343,753354,419591,413293,596623,313646,124805,6126452,5035197,704327,27705,121417,7385,6126452,239,155,281,159,974435,3049455,31.954398408896022,717261,501226,1218487,430529.0,1266430.0,1246796.0,1181083.0,33925,6061.0,5818.0,95.99076060056095,1113.0,18.363306385084968,910.0,15.014024088434253,3795.0,62.61343012704175,49137,21164,9346,1380,1374,7717,646,2505,22968,8107.0,3492.0,1542.0,228.0,227.0,1273.0,107.0,413.0,15389.0,2804780.0,83620.0,2.9813389998502564,27090.0,0.9658511541012128,6320.0,0.2253296158700505,4750.0,0.16935374610486384,125620.0,4.478782649619578,6507.857142857143,0.2427490429334597,30660.0,1.0931338643316053,9545816.0,296070.0,3.224175363934205,919234.0,10384.533209171983,49304.0
26,Montana,23875,676,30503637,4744200,9139061,12461177,19265746,25846198,29239933,1062305,534782,527523,61688,61732,67916,67386,67822,133976,128663,121090,72061,79732,121055,58431,20753,1062305,941438,5056,68013,8517,990,1062305,241,159,287,161,172420,542060,31.80828690550861,7933,6540,14473,48608.0,208896.0,233893.0,222870.0,3191,1023.0,952.0,93.05962854349951,195.0,19.06158357771261,113.0,11.045943304007821,644.0,62.95210166177908,8409,3807,1696,310,155,885,169,559,3774,8221.0,3722.0,1658.0,303.0,151.0,865.0,165.0,546.0,15631.0,463280.0,8280.0,1.7872560870316003,4170.0,0.9001036090485236,2410.0,0.5202037644620964,1460.0,0.3151441892591953,17830.0,3.8486444482818167,1510.0,0.32593679848040064,7730.0,1.6685373855983423,1652848.0,45550.0,3.6286454445664114,145319.0,11373.929080161577,52776.0
27,Nebraska,259429,3535,58525931,8838903,16946908,23218983,36083323,48838557,55755143,1929268,961213,968055,131156,129861,136769,132609,132433,256755,244896,218816,122864,119111,172853,89193,41952,1929268,1666990,91221,18555,45779,1289,1929268,244,162,286,160,341565,1035220,32.99443596530206,27467,15056,42523,110739.0,326549.0,415959.0,389216.0,23332,1881.0,1805.0,95.95959595959594,306.0,16.267942583732058,213.0,11.323763955342903,1286.0,68.367889420521,15823,6568,3306,557,182,2336,348,775,7504,8412.0,3492.0,1758.0,296.0,97.0,1242.0,185.0,412.0,15894.0,978290.0,28180.0,2.880536446248045,7270.0,0.7431334266935162,3150.0,0.32199041184106963,1250.0,0.1277739729528054,42200.0,4.3136493268867095,2350.0,0.24021506915127416,12010.0,1.2276523321305544,3911805.0,116056.0,3.370618494519887,316014.0,12378.581328675313,54213.0
28,Nevada,259808,11975,98309878,23874156,37333048,47218122,66504182,84573854,94348203,3034392,1522374,1512018,184539,188880,201625,182398,180376,442713,405128,396167,191059,186387,291996,138844,44280,3034392,1924976,280385,44666,250137,19612,3034392,234,142,275,149,368865,1531365,24.08733384921296,17961,8933,26894,274163.0,563229.0,678710.0,485348.0,81635,2833.0,2557.0,90.25767737380869,435.0,15.354747617366748,428.0,15.107659724673493,1694.0,59.79527003176845,19020,6730,5304,773,661,2736,426,691,10591,6714.0,2376.0,1872.0,273.0,233.0,966.0,150.0,244.0,12828.0,1347130.0,19520.0,1.4490064062117245,7600.0,0.5641623302873516,1410.0,0.10466695864541654,2210.0,0.16405246709671673,32690.0,2.4266403390912528,1950.0,0.14475217685004416,13670.0,1.0147498756615918,4092457.0,150436.0,2.7203973782871116,467527.0,8753.413171859593,54280.0
29,New Hampshire,117245,4507,54745645,8956761,16707828,22694489,34638683,46284032,52421534,1356458,669442,687016,62857,68935,76872,91832,85214,167822,154965,189718,111581,101506,146599,67733,30824,1356458,1253931,23432,3562,36048,515,1356458,249,165,294,165,277750,755905,36.74403529544056,14817,14643,29460,67607.0,263005.0,274078.0,347425.0,4988,1329.0,1358.0,102.18209179834463,259.0,19.48833709556057,144.0,10.835214446952596,955.0,71.85854025583144,12742,5010,2960,349,303,1623,254,759,6248,9589.0,3771.0,2227.0,263.0,228.0,1222.0,191.0,571.0,18062.0,652920.0,20520.0,3.142804631501562,9890.0,1.5147338111866688,1450.0,0.2220792746431416,1350.0,0.20676346259878697,34780.0,5.326839429026529,1570.0,0.2404582490963671,10790.0,1.6525761195858604,2833893.0,78402.0,3.614567230427795,182425.0,15534.56488968069,57833.0
30,New Jersey,5645458,332869,396393676,77681603,140320265,185056320,269261777,345542637,382969778,8908520,4350386,4558134,517694,517905,573092,556312,554274,1151093,1147591,1233599,634688,583983,812353,430178,195758,8908520,5956539,1207995,21131,868213,2909,8908520,245,155,293,156,2057040,4718205,43.59793607950481,802322,473159,1275481,641113.0,1683568.0,1420805.0,2384056.0,79574,8925.0,8842.0,99.07002801120449,1462.0,16.380952380952383,1483.0,16.616246498599438,5897.0,66.07282913165267,79066,26014,21148,3222,2178,12089,1418,4269,44324,8859.0,2915.0,2369.0,361.0,244.0,1355.0,159.0,478.0,16740.0,4050170.0,136850.0,3.3788705165462187,38250.0,0.9444048027613656,14180.0,0.3501087608668278,13130.0,0.3241839231439668,211240.0,5.2155835434068205,8840.0,0.21826244330484887,52360.0,1.292785241113336,26825114.0,581271.0,4.614906644233068,1408845.0,19040.500551870504,69917.0
31,New Mexico,177827,6867,49827470,6965833,14302259,20204838,31837093,42449792,47876784,2095428,1039641,1055787,118494,127795,151078,142717,138863,279153,256261,239928,136486,136173,221209,106536,40735,2095428,1599938,46064,200659,34155,2465,2095428,231,143,271,143,255880,931955,27.45626130017007,220102,12859,232961,205558.0,368487.0,442039.0,378196.0,52892,2083.0,2059.0,98.84781565050407,361.0,17.330772923667787,702.0,33.70139222275564,996.0,47.81565050408065,15027,6595,3314,558,522,1558,430,737,7119,7214.0,3166.0,1591.0,268.0,250.0,748.0,207.0,354.0,13798.0,811680.0,15090.0,1.8591070372560616,12310.0,1.5166075300611082,1690.0,0.2082101320717524,4640.0,0.5716538537354623,36630.0,4.512862211709048,2890.0,0.35605164596885475,13620.0,1.6780011827321113,3343152.0,91004.0,3.6736319282668894,335694.0,9958.926879836994,47152.0
32,New York,15041806,1081194,855923119,250365011,377131528,462031203,619086475,760926774,830808771,19542209,9491313,10050896,1139842,1078979,1154737,1202251,1294057,2872898,2433825,2557338,1327824,1268393,1811595,967841,432629,19542209,12375601,3069259,84312,1666113,9424,19542209,237,150,280,150,4146075,10004515,41.442038919427866,31951065,2011696,33962761,1839849.0,3556251.0,3322104.0,4888138.0,243737,19719.0,20129.0,102.07921294183276,3278.0,16.62356103250672,5286.0,26.806633196409553,11565.0,58.64901871291648,192809,71630,36941,5891,9426,28294,2834,18459,101845,9778.0,3633.0,1873.0,299.0,478.0,1435.0,144.0,936.0,18576.0,9385620.0,254650.0,2.7131931614533724,74040.0,0.7888663721736017,19950.0,0.21255921292360014,15850.0,0.1688753646535871,401580.0,4.278673119090693,37090.0,0.3951790078865328,99470.0,1.0598127774190729,59161439.0,1541524.0,3.837853903020647,2711626.0,21817.698679685174,84227.0
33,North Carolina,568719,19258,287924949,46091164,90608605,123830258,187648941,245963463,276087066,10383620,5052244,5331376,597192,620626,679947,701383,682328,1382310,1310404,1378087,677844,664925,1013996,495511,179067,10383620,7098569,2222533,120845,306682,10218,10383620,244,154,281,150,1733090,5125645,33.812134863026984,1394342,785323,2179665,869866.0,1780253.0,2132449.0,2099206.0,105801,9934.0,9236.0,92.97362593114555,1719.0,17.304207771290518,1649.0,16.599557076706258,5868.0,59.06986108314879,72160,27606,16014,2196,1941,12295,1411,2648,36505,7264.0,2779.0,1612.0,221.0,195.0,1238.0,142.0,267.0,13718.0,4383210.0,132200.0,3.016054444117439,45440.0,1.0366831614273555,12080.0,0.27559710805551185,11590.0,0.26441808628835944,213120.0,4.862190038807176,11800.0,0.26920909561713896,53450.0,1.2194259458250918,13466942.0,518248.0,2.598551658665349,1544934.0,8716.839683766428,51231.0
34,North Dakota,55932,1219,25255625,3604574,7073108,9733582,15307366,20973814,24038632,760077,391222,368855,52175,50804,47274,46455,62590,116734,90872,81517,49436,45787,64047,33947,18439,760077,651687,25896,41270,13749,339,760077,245,161,288,161,122840,412510,29.77867203219316,15340,5327,20667,36794.0,131264.0,177779.0,144396.0,3669,740.0,740.0,100.0,117.0,15.810810810810812,76.0,10.27027027027027,547.0,73.91891891891892,7289,3314,1268,193,54,869,122,600,3106,9851.0,4479.0,1713.0,260.0,72.0,1175.0,165.0,811.0,18526.0,416550.0,7570.0,1.8173088464770133,4050.0,0.9722722362261434,1510.0,0.3625015004201176,850.0,0.20405713599807945,14750.0,3.540991477613732,780.0,0.18725243068059053,5680.0,1.3635818029048132,1451309.0,50772.0,2.8584830221381865,108644.0,13358.390707264092,52850.0
35,Ohio,908834,47879,340830550,50436504,99481171,136759826,211894064,285438258,325323706,11689442,5732095,5957347,693129,691126,752239,773272,752641,1533104,1396763,1488201,816288,796516,1152361,595517,248285,11689442,9470940,1446306,25672,271762,4228,11689442,244,157,285,157,1845710,5930010,31.124905354291137,1495556,914414,2409970,786160.0,2639478.0,2305877.0,2205570.0,53392,11594.0,11963.0,103.18268069691221,2108.0,18.181818181818183,2559.0,22.071761255821976,7296.0,62.92910125927204,101013,44167,20626,2699,3007,11866,1668,6287,46153,8712.0,3809.0,1779.0,233.0,259.0,1023.0,144.0,542.0,16501.0,5416810.0,147330.0,2.7198664896867344,72760.0,1.343225994635219,10070.0,0.18590277303431355,10000.0,0.18461049953755068,251630.0,4.645353999863388,11470.0,0.21174824296957065,61990.0,1.1444004866332769,20484182.0,621363.0,3.2966530031559653,1716585.0,11933.100895091124,58000.0
36,Oklahoma,187462,10394,99128116,16211551,30719528,41653327,63444374,84095597,94931870,3943079,1950076,1993003,258036,262116,277994,270953,266367,542736,492077,459013,256188,237998,361839,185179,72583,3943079,2845906,287680,307183,84694,3859,3943079,240,153,275,151,499750,1873105,26.68029822140243,327177,179127,506304,313788.0,806407.0,805736.0,648070.0,52200,3877.0,3795.0,97.88496259994841,665.0,17.152437451637866,735.0,18.95795718338922,2395.0,61.77456796492133,29575,12089,6404,1007,755,4576,448,1392,14582,7627.0,3118.0,1651.0,260.0,195.0,1180.0,115.0,359.0,14505.0,1594370.0,29820.0,1.8703312280085551,15837.857142857143,1.0338892418271797,2500.714285714286,0.16418764446433465,3010.0,0.18878930235767105,55920.0,3.5073414577544737,3160.0,0.19819740712632566,22550.0,1.4143517502210905,5606044.0,178510.0,3.1404649599462218,692878.0,8090.953963035339,46300.0
37,Oregon,134979,5067,133480354,20929016,40620618,55579971,85096784,113325285,127898239,4190713,2079943,2110770,230515,236914,253861,252056,264987,592655,556833,519480,267232,276569,447596,210633,81382,4190713,3514983,82046,49051,190680,18758,4190713,238,153,283,156,735305,2135975,34.42479429768607,47265,29691,76956,274182.0,656365.0,982329.0,937817.0,51036,3968.0,4119.0,103.80544354838709,728.0,18.346774193548384,964.0,24.29435483870968,2427.0,61.16431451612904,31920,11666,7455,1311,661,3501,513,3146,16587,8044.0,2940.0,1879.0,330.0,167.0,882.0,129.0,793.0,15164.0,1886090.0,51800.0,2.746422493094179,27650.0,1.4659957902327037,6720.0,0.3562926477527584,3430.0,0.18185770562380374,94630.0,5.0172579251255245,5030.0,0.2666892884220795,33860.0,1.7952483709685114,6238574.0,215153.0,2.899598890092167,608825.0,10246.90838911017,63061.0
38,Pennsylvania,2320771,127278,428465752,72694735,136621454,184125609,277366419,366264333,412054991,12807060,6271620,6535440,700416,708163,775827,815621,812406,1695073,1496113,1659541,916749,894782,1311159,707570,313640,12807060,10256084,1428406,21418,455027,5008,12807060,243,154,284,154,2297270,6570180,34.96509989071836,1939684,1506534,3446218,874018.0,3133655.0,2168373.0,2745317.0,61724,12791.0,13172.0,102.9786568681104,2489.0,19.458994605582053,2150.0,16.808693612696427,8533.0,66.71096864983191,118419,43693,25156,3940,3122,17208,1807,9550,60783,9258.0,3416.0,1967.0,308.0,244.0,1345.0,141.0,747.0,17426.0,5847690.0,151880.0,2.59726490289328,63641.111111111124,1.1369814449455495,16300.0,0.2880424970392613,13000.0,0.22231000617337787,233815.0,4.126149624200237,15000.0,0.2565115455846668,79415.0,1.4031368698117024,26045127.0,724266.0,3.5960720232621717,1717414.0,15165.316574803745,67535.0
39,Rhode Island,401931,14251,35997730,5705938,10891229,14920731,22953319,30559886,34510941,1057315,515900,541415,54430,56691,55343,74635,75521,146349,123137,140006,73211,75347,103271,52915,26459,1057315,852805,70749,4341,36064,883,1057315,238,152,281,151,200310,558360,35.874704491725765,24482,21168,45650,87994.0,207007.0,194223.0,243964.0,12620,1054.0,1061.0,100.66413662239088,200.0,18.9753320683112,207.0,19.639468690702085,654.0,62.04933586337761,10071,3814,1956,328,266,1488,145,936,5119,9551.0,3617.0,1855.0,311.0,252.0,1411.0,138.0,888.0,18023.0,482030.0,12850.0,2.6658091820011203,6720.0,1.3941041014044768,1090.0,0.2261270045432857,920.0,0.19085949007323194,23310.0,4.835798601746778,1730.0,0.3588988237246644,5260.0,1.0912183888969569,2283927.0,57727.0,3.956427668162212,142014.0,16082.407368287631,66758.0
40,South Carolina,313173,11859,133226223,20541178,40519282,55763743,85745273,113230459,127499350,5084127,2468707,2615420,287356,307540,323598,340480,332798,654355,623363,637009,349353,328521,553062,261920,84772,5084127,3407706,1353599,23672,80969,4004,5084127,237,155,276,151,731530,2444595,29.92438420270024,441127,260123,701250,435770.0,998459.0,1022950.0,927823.0,45574,4828.0,4661.0,96.54101077050537,910.0,18.84838442419221,922.0,19.096934548467274,2829.0,58.595691797845895,35299,14161,7810,987,1056,5758,745,1393,17749,7311.0,2933.0,1618.0,204.0,219.0,1193.0,154.0,288.0,13920.0,2062280.0,37870.0,1.8363170859437128,29510.0,1.4309405124425392,2200.0,0.10667804565820356,2930.0,0.14207576080842563,75750.0,3.673119072094962,3230.0,0.15662276703454428,22900.0,1.1104214752603914,7669725.0,212675.0,3.6063124485717646,763533.0,10045.047168884643,50182.0
41,South Dakota,122292,1121,26937890,4572180,8316422,11093874,16817058,22572669,25713587,882235,445271,436964,60427,58765,61566,59836,58791,116300,105167,97263,58813,58949,85022,39575,21761,882235,740870,19057,78068,15023,51,882235,240,157,285,160,137995,467570,29.51322796586607,10311,5912,16223,46944.0,173262.0,185400.0,161477.0,5452,853.0,829.0,97.18640093786637,152.0,17.819460726846426,108.0,12.661195779601405,569.0,66.70574443141852,7616,3764,1394,218,79,809,108,399,3007,8933.0,4415.0,1635.0,256.0,93.0,949.0,126.0,468.0,16875.0,422310.0,7890.0,1.868295801662286,3230.0,0.764840993582913,1950.0,0.4617461106769909,720.0,0.17049087163458124,14790.0,3.5021666548270227,1010.0,0.23916080604295425,3700.0,0.8761336458999314,1253268.0,48462.0,2.586083942057695,134253.0,9335.121002882615,47631.0
42,Tennessee,583792,10198,185509888,33032654,60793344,81219315,121020622,158200295,177768712,6770010,3302191,3467819,404439,413172,434765,439465,437346,914783,846438,883961,445131,445713,658560,332775,113462,6770010,5235588,1137801,19136,119046,5494,6770010,241,157,278,156,995435,3315105,30.02725403871069,673282,374243,1047525,590270.0,1467848.0,1266537.0,1206051.0,44790,6545.0,6060.0,92.58976317799849,1206.0,18.426279602750192,1348.0,20.595874713521773,3506.0,53.567608861726505,48249,17124,12303,1433,1402,7960,888,2557,26543,7372.0,2617.0,1880.0,219.0,214.0,1216.0,136.0,391.0,14045.0,2956920.0,53570.0,1.811682426308456,27790.0,0.9398292818202724,4820.0,0.16300745370182487,4470.0,0.15117081287285417,96060.0,3.248650622945497,5410.0,0.1829606482420897,36220.0,1.2249232309294806,8886994.0,334385.0,2.657713115121791,1001235.0,8876.03210035606,50900.0
43,Texas,1553075,41267,907906533,200671712,340091337,439367608,624949715,790758741,874823715,28701845,14250184,14451661,2010781,1984419,2171522,2069341,1988685,4181960,3910623,3550999,1694490,1539426,2174294,1042370,382935,28701845,21099066,3527027,149997,1430857,21463,28701845,244,155,284,156,4433840,14185655,31.255800313767672,30521022,1148537,31669559,2993432.0,4448881.0,5153577.0,5219469.0,926325,26945.0,22025.0,81.74058266839859,3516.0,13.048803117461492,4136.0,15.349786602338098,14373.0,53.34199294859899,188559,72704,45665,5591,7604,28916,3107,8970,99853,6998.0,2698.0,1695.0,208.0,282.0,1073.0,115.0,333.0,13402.0,12113810.0,349540.0,2.885467082610673,162440.0,1.340948883959712,20600.0,0.17005384763340353,25120.0,0.2073666336189853,581440.0,4.79981112465855,23740.0,0.19597467683577668,163150.0,1.3468099631742614,49577688.0,1564396.0,3.169126487155426,5301477.0,9351.674637086984,53334.0
44,Utah,245859,2472,91266545,15955410,28644423,38145900,57498266,76877969,87217572,3161105,1592457,1568648,250194,257110,270952,250173,260774,463344,437953,319031,152425,147852,212206,103828,35263,3161105,2708195,40365,34678,75898,29362,3161105,243,160,286,166,499305,1583735,31.5270547155932,42785,390160,432945,143360.0,407324.0,638721.0,592660.0,46220,2942.0,2891.0,98.26648538409245,333.0,11.318830727396328,296.0,10.061182868796736,2262.0,76.88647178789941,17597,6915,3881,624,553,2305,473,1062,8898,5982.0,2351.0,1319.0,212.0,188.0,784.0,161.0,361.0,11358.0,1455910.0,49930.0,3.4294702282421303,18590.0,1.2768646413583258,3070.0,0.21086468256966434,2821.666666666666,0.19380776742152098,55681.428571428565,4.535938074093293,3910.0,0.26856055662781353,22152.857142857134,1.818545665929458,4539291.0,157902.0,2.874752061405176,647870.0,7006.4843255591395,49655.0
45,Vermont,45230,2320,20481722,2953450,5883104,8166850,12780719,17238224,19630470,626299,308118,318181,28810,32019,33938,42229,43479,75058,70113,80695,47049,49034,75755,34971,13149,626299,589337,7621,1743,11859,139,626299,243,163,290,163,137270,344075,39.89537164862312,603,10839,11442,32707.0,128172.0,114710.0,164106.0,1770,627.0,700.0,111.6427432216906,128.0,20.414673046251995,176.0,28.070175438596486,396.0,63.157894736842096,6389,2928,1097,201,189,726,81,525,2819,10190.0,4670.0,1750.0,321.0,301.0,1158.0,129.0,837.0,19356.0,305210.0,7040.0,2.306608564594869,2920.0,0.9567183250876446,810.0,0.2653910422332165,820.0,0.26866747485337966,12890.0,4.223321647390321,1310.0,0.4292126732413748,4730.0,1.5497526293371775,1671433.0,31635.0,5.283492966650861,87866.0,19022.52293264744,60556.0
46,Virginia,866807,28754,311563990,48947370,95294396,131722445,202082766,267111487,299491962,8517685,4190738,4326947,502102,514779,534414,564667,579716,1170188,1114566,1115695,574308,529025,779502,390537,148186,8517685,5737580,1631512,22265,555422,5659,8517685,247,165,288,160,1797625,4364135,41.19086600208289,1116402,698327,1814729,612820.0,1381080.0,1549589.0,2186863.0,114739,8317.0,7707.0,92.66562462426356,1311.0,15.762895274738488,928.0,11.157869424071182,5468.0,65.7448599254539,62847,24222,15610,1868,1268,8439,1123,3493,31801,7556.0,2912.0,1877.0,225.0,152.0,1015.0,135.0,420.0,14292.0,3832840.0,202990.0,5.296072885901838,53170.0,1.3872220077018609,6460.0,0.1768328501261071,9670.0,0.2522933386209703,289420.0,7.551058744951526,17101.428571428572,0.4722822977627659,55400.0,1.4454034084386511,14677698.0,493866.0,2.972000097192357,1283590.0,11434.88029666794,51994.0
47,Washington,807848,42371,301047997,56161054,100723679,133493477,196827722,257340470,288919311,7535591,3766859,3768732,458194,466487,468155,452515,475177,1153369,1006328,930921,488025,472433,710781,325150,128056,7535591,5633263,291808,97329,661781,53924,7535591,245,158,287,157,1440765,3858830,37.33683525835552,794170,492161,1286331,444721.0,1109016.0,1684945.0,1763261.0,127777,7054.0,7153.0,101.40345903033742,1146.0,16.24610150269351,1539.0,21.81740856251772,4468.0,63.33994896512617,55819,21797,14562,2282,1326,5610,1030,2444,27254,7913.0,3090.0,2064.0,324.0,188.0,795.0,146.0,346.0,14866.0,3259150.0,156540.0,4.803092830952855,54320.0,1.6666922357056289,13870.0,0.4255710844852185,8580.0,0.2632588251537978,242680.0,7.446113250387371,9360.0,0.28719144562232485,56280.0,1.7268306153444917,12483668.0,492943.0,2.5324769800970905,1087030.0,11484.198228199773,55693.0
48,West Virginia,56158,1950,40224760,4482103,10077647,14708262,24382069,33721011,38437287,1805832,894657,911175,93922,97203,107390,112776,113760,209002,218803,233109,127449,131202,215290,105707,40219,1805832,1679773,68679,2629,13459,451,1805832,235,151,271,150,201375,787455,25.572889879421677,14871,9554,24425,174230.0,523536.0,332568.0,261750.0,2035,1849.0,2014.0,108.92374256354786,411.0,22.22823147647377,495.0,26.77122769064359,1108.0,59.9242833964305,17491,7463,3340,439,503,2545,343,1313,8483,9462.0,4037.0,1807.0,238.0,272.0,1377.0,186.0,710.0,18089.0,696620.0,11200.0,1.6077631994487669,5530.0,0.7938330797278287,1510.0,0.2167609313542534,1610.0,0.23111595992076026,21770.0,3.1250897189285407,1920.0,0.27561654847693146,8100.0,1.1627573138870546,3169684.0,69814.0,4.540183917265877,277452.0,11424.260773034614,45642.0
49,Wisconsin,393823,15587,185948284,28215039,53841327,73692520,114778538,155869897,177843906,5813568,2891282,2922286,330651,342754,374768,378566,394807,735765,706676,738357,419486,405255,571672,290056,124755,5813568,4957243,370632,50364,165380,1961,5813568,243,156,289,159,962100,3091945,31.116336157337862,804277,562182,1366459,317174.0,1216570.0,1236655.0,1160490.0,49905,5758.0,5890.0,102.29246266064608,1023.0,17.766585620006946,1039.0,18.044459881903443,3828.0,66.48141715873568,50109,20165,12482,1518,1325,6349,719,2088,24481,8702.0,3502.0,2168.0,264.0,230.0,1103.0,125.0,363.0,16457.0,2848560.0,72790.0,2.5553261999045134,37750.0,1.3252309939056923,7090.0,0.2488976886567248,4290.0,0.15060240963855423,129060.0,4.5307102536018204,7150.0,0.25100401606425704,35790.0,1.2564242985929734,10122041.0,312141.0,3.2427784238533235,867800.0,11664.02512099562,51469.0
50,Wyoming,28407,281,21692660,5985614,8544166,10478127,14560102,18730918,20896804,577737,292619,285118,35395,34937,40645,40744,32880,77254,72405,67487,38002,41431,59467,27832,9258,577737,528453,3667,16185,5807,1111,577737,247,161,287,160,78605,299120,26.27875100294197,8418,3622,12040,27644.0,111899.0,145071.0,104677.0,2839,584.0,550.0,94.17808219178082,92.0,15.753424657534245,69.0,11.815068493150685,389.0,66.6095890410959,4856,2335,1034,220,45,438,75,243,2055,8320.0,4001.0,1771.0,377.0,77.0,751.0,129.0,416.0,15842.0,269320.0,2990.0,1.1102034754195749,2720.0,1.0099509876726571,960.0,0.35645328976682017,1010.0,0.3750185652755087,8440.0,3.133818505866627,760.0,0.28219218773206595,3980.0,1.4777959304916086,1556321.0,35905.0,4.334552290767303,94717.0,16431.274216877646,58352.0
