,State,cases,deaths,AGI Total,AGI Top 1 Percent,AGI Top 5 Percent,AGI Top 10 Percent,AGI Top 25 Percent,AGI Top 50 Percent,AGI Top 75 Percent,Total Population,Total population_Male,Total population_Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,RACE_Total population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Total population_HISPANIC OR LATINO,4th 2015 Math,4th 2015 Science,8th 2015 Math,8th 2015 Science,Labor Force w/ Bachelor 2018,Labor Force Participants 2018,Percent of Labor Force w/ Bachelor 2018,Doctorate From Doc Inst 2018,Doctorate From Bach Inst 2018,Total Doctorate Degrees 2018,Less Than HS Diploma 14-18,HS Diploma 14-18,Some College or Associate Degree 14-18,Bachelor Degree or Higher 14-18,ELL Students Enrolled 2017,Population Per State (2014),Total Health Insurance Enrollment Per State (2014),Total Health Insurance Enrollment (Percent),Medicare Enrollment Per State (2014),Medicare Enrollment (Percent),Medicaid Enrollment Per State (2014),Medicaid Enrollment (Percent),Private Enrollment Per State (2014),Private Enrollment (Percent),Personal Health Care Expenses Per State (2014),Hospital Services Expenses Per State (2014),Physician and Clinical Services Expenses Per State (2014),Other Professional Services Expenses Per State (2014),Home Health Care Expenses Per State (2014),Drugs and Non-Durables Expenses Per State (2014),Durables Expenses Per State (2014),Other Health Care Expenses Per State (2014),Total Health Care Expenses Per State (2014),Personal Health Care Expenses Per State Capita (2014),Hospital Services Expenses Per State Capita (2014),Physician and Clinical Services Expenses Per State Capita (2014),Other Professional Services Expenses Per State Capita (2014),Home Health Care Expenses Per State Capita (2014),Drugs and Non-Durables Expenses Per State Capita (2014),Durables Expenses Per State Capita (2014),Other Health Care Expenses Per State Capita (2014),Total Health Care Expenses Per State Capita (2014),All Occupations 2018,Computer Mathematical Scientists 2018,Computer Mathematical Scientists 2018 (Percent),Engineers 2018,Engineers 2018 (Percent),Life Scientists 2018,Life Scientists 2018 (Percent),Physical Scientists 2018,Physical Scientists 2018 (Percent),Science Engineer Workers 2018,Science Engineer Workers 2018 (Percent),Social Scientists 2018,Social Scientists 2018 (Percent),Technical Workers 2018,Technical Workers 2018 (Percent),Public School Expenditure 2016(Thousands),State GDP(Millions),School Expenditures per State GDP(Percent),Student Enrollment,School Expenditures per Student Enrollment(Percent),Public School Salary 2018(Dollars)
10,Georgia,1282091,54209,301921590,57388490,104804525,139242396,203999008,261742257,290481346,10519475,5120290,5399185,645488,683042,739018,754377,719378,1442243,1401044,1396330,667863,614264,896948,416680,142800,10519475,6127645,3319691,34485,436051,14049,10519475,236,152,279,152,1770780,5203360,34.031471971956584,1207304,598228,1805532,903914.0,1890132.0,1912385.0,2080116.0,113605,10087.0,9061.0,89.82849211856846,1469.0,14.563299296123724,1685.0,16.704669376425098,5907.0,58.56052344601963,66447,24676,18325,2130,1644,9467,1410,2615,35591,6587.0,2446.0,1817.0,211.0,163.0,938.0,140.0,259.0,12561.0,4394740.0,144220.0,3.28165033653868,45900.0,1.0444303872356495,5860.833333333332,0.14688861384685034,5110.0,0.11627536555063553,210710.0,4.794595357176988,9520.0,0.2166225988340607,49720.0,1.1313524804652837,17283295.0,538238.0,3.2110878458971683,1757237.0,9835.494586103068,56329.0
11,Hawaii,31433,681,46035510,6481803,12912656,18065442,28514439,38613296,44050315,1420491,710702,709789,87437,84434,84576,77860,90595,201025,181541,171390,86295,93871,149372,72022,40073,1420491,345652,28325,3237,534479,144971,1420491,238,146,279,144,238705,712135,33.519627598699685,13665,6224,19889,80696.0,273633.0,313042.0,320996.0,14773,1416.0,1384.0,97.74011299435028,237.0,16.73728813559322,291.0,20.55084745762712,856.0,60.451977401129945,10338,3914,2722,330,230,1673,240,246,5441,7299.0,2764.0,1922.0,233.0,163.0,1181.0,170.0,174.0,13906.0,641790.0,9760.0,1.5207466616806116,5910.0,0.9208619641938952,1610.0,0.25086087349444525,1630.0,0.2539771576372334,21400.0,3.334424032783309,2480.0,0.3864192337057293,6750.0,1.051745898190997,2502117.0,85867.0,2.913944821642773,181995.0,13748.273304211652,57866.0
12,Idaho,103987,2828,46384513,7043329,13662436,18722793,28953730,38984622,44308028,1754208,882158,872050,113693,123959,129947,127012,115850,228080,219713,201135,111993,103385,168397,81341,29703,1754208,1576846,12075,23026,27026,2763,1754208,239,156,284,160,233510,840240,27.790869275445107,7720,9932,17652,102691.0,301860.0,391446.0,293269.0,17849,1634.0,1564.0,95.71603427172585,271.0,16.585067319461444,218.0,13.341493268053856,1075.0,65.78947368421053,11315,4963,2165,493,292,1301,244,625,5120,6927.0,3038.0,1325.0,302.0,178.0,796.0,149.0,383.0,13098.0,706140.0,14260.0,2.0194295748718383,10000.0,1.4161497719998866,2790.0,0.3951057863879684,1840.0,0.26057155804797916,30230.0,4.2810207607556565,1340.0,0.1897640694479848,12110.0,1.7149573738918629,2097992.0,69313.0,3.0268376783575954,292277.0,7178.0947525806005,49225.0
13,Illinois,2843621,122000,459437029,88047538,157346611,207726891,304850658,395935092,442093637,12741080,6266062,6475018,759456,762237,838140,835845,839026,1765517,1644390,1636054,855616,814251,1143329,587651,259568,12741080,9135145,1793079,35846,717938,5317,12741080,237,151,282,150,2506845,6662825,37.624356035165256,1897620,1020430,2918050,964587.0,2267535.0,2492430.0,2957791.0,217790,12868.0,13410.0,104.21199875660555,2026.0,15.744482437053154,3105.0,24.129623873173767,8279.0,64.3378924463786,106306,43497,24139,4365,2805,12949,1652,5652,51562,8262.0,3380.0,1876.0,339.0,218.0,1006.0,128.0,439.0,15648.0,5991270.0,168130.0,2.8062497600675647,60950.0,1.0173135245114977,11260.0,0.18794011954059825,10752.142857142857,0.17946350034538347,263930.0,4.405242961842816,17755.714285714286,0.30741666123275474,76790.0,1.281698204220474,29253457.0,805434.0,3.6320116856253897,2041779.0,14327.435535383604,65721.0
14,Indiana,920434,53042,186286142,27521323,53675233,74168484,116195909,157030083,178430564,6691878,3295973,3395905,417774,430155,451395,459222,465439,874246,826473,841750,447600,426678,613699,310870,126577,6691878,5539927,637277,14040,154220,3470,6691878,248,159,287,156,979960,3388035,28.924140394063226,1206425,624274,1830699,502624.0,1475931.0,1281352.0,1139908.0,55607,6595.0,6350.0,96.28506444275969,1124.0,17.043214556482187,1070.0,16.224412433661865,4156.0,63.01743745261562,54741,23027,12144,1593,1069,7383,1082,2450,25721,8300.0,3492.0,1841.0,242.0,162.0,1119.0,164.0,372.0,15692.0,3048100.0,55720.0,1.828024014960139,37300.0,1.2237131327712345,7000.0,0.2296512581608215,5850.0,0.19192283717725794,93489.28571428572,3.2442058704516774,6471.538461538462,0.2252846261957996,36160.71428571428,1.255665022874166,10144064.0,338227.0,2.9991881192217065,1046757.0,9690.944507655551,50614.0
15,Iowa,396980,9203,93417302,12488315,25114430,35149212,56092713,77294312,88854221,3156145,1564888,1591257,197883,197454,215222,220659,220135,394507,383617,369396,213657,205797,299333,162869,75616,3156145,2846099,115137,11494,79971,3463,3156145,243,159,286,159,505035,1676715,30.120503484492,568175,351131,919306,166709.0,648137.0,679510.0,587017.0,29473,3108.0,3376.0,108.62290862290862,561.0,18.05019305019305,606.0,19.498069498069498,2209.0,71.07464607464607,25487,10231,4826,814,548,3568,433,1914,12103,8200.0,3292.0,1553.0,262.0,176.0,1148.0,139.0,616.0,15386.0,1541700.0,35510.0,2.3033015502367515,13210.0,0.8568463384575469,5060.0,0.3282091198028151,1670.0,0.1083219822274113,58180.0,3.7737562431082567,2740.0,0.17772588700784847,20830.0,1.3511059220341182,5663444.0,180351.0,3.1402343208521164,508014.0,11148.204577039216,57018.0
16,Kansas,231885,6527,86807929,13696092,26199853,35706441,54817452,73365708,83138128,2911510,1449745,1461765,186990,190475,208695,204915,209009,376422,359447,339683,189925,183758,264050,134355,63786,2911510,2446823,171141,26829,82444,2929,2911510,241,154,284,155,512860,1499745,34.19648006827828,388146,18887,407033,175719.0,492819.0,603061.0,623076.0,49238,2899.0,2673.0,92.20420834770609,477.0,16.45394963780614,352.0,12.142117971714384,1844.0,63.608140738185575,22183,8593,4935,773,400,3243,363,1209,10923,7651.0,2964.0,1702.0,267.0,138.0,1119.0,125.0,417.0,14383.0,1375380.0,33320.0,2.4226032078407416,16700.0,1.2142098910846455,2640.0,0.1919469528421236,2280.0,0.16577236836365222,57720.0,4.196658378048248,2790.0,0.20285302970815344,15790.0,1.1480463580973983,5065968.0,155682.0,3.2540486376074313,495884.0,10216.0343951408,49754.0
17,Kentucky,246480,11851,108540518,15254352,30804516,42952236,67620702,91263425,103719767,4468402,2199021,2269381,273489,279978,285833,288944,300744,579520,553107,575373,304711,295311,435465,217279,78648,4468402,3875023,354761,8470,65300,4943,4468402,242,160,278,157,591910,2105670,28.110292685938443,348146,234116,582262,429573.0,991791.0,873037.0,709603.0,25653,4413.0,4503.0,102.03942895989124,846.0,19.170632222977567,1058.0,23.974620439610238,2599.0,58.89417629730342,35323,14198,8077,1008,705,5289,657,2106,17842,8004.0,3217.0,1830.0,228.0,160.0,1199.0,149.0,477.0,15264.0,1889870.0,31800.0,1.6826554207432256,18850.0,0.9974231031764088,2430.0,0.12858027271717098,2540.0,0.13440077888955326,59080.0,3.1261409514940177,3460.0,0.1830813759676592,17190.0,0.9095863736659136,6750052.0,195080.0,3.4601455812999795,686598.0,9831.155931127092,52952.0
18,Louisiana,1443404,90609,116954746,18792763,36396221,49866733,76350641,100241514,112100922,4659978,2276530,2383448,301857,297439,317930,308126,308893,645255,589714,567313,303589,299252,434897,211869,73844,4659978,2877115,1509407,25657,76255,1133,4659978,234,154,268,154,582565,2152800,27.060804533630623,413163,281126,694289,471960.0,1055768.0,842620.0,737593.0,25060,4648.0,4397.0,94.59982788296041,772.0,16.609294320137693,1128.0,24.268502581755595,2497.0,53.722030981067135,36324,14174,7988,1104,1316,5841,471,2226,18946,7815.0,3050.0,1719.0,238.0,283.0,1257.0,101.0,479.0,14942.0,1913770.0,18700.0,0.9771289130877796,18880.0,0.9865344320372876,2620.0,0.1369025535983948,3370.0,0.1760922158880116,46240.0,2.4161733123625098,2680.0,0.14003772658156413,23580.0,1.2321229823855533,8027058.0,228087.0,3.5192965841981345,718711.0,11168.686718305413,50359.0
19,Maine,61284,2451,38926722,5077172,10692933,15056768,23892336,32507652,37139488,1338404,655734,682670,63410,67860,72549,77325,73878,159944,153436,180466,105214,108253,163953,77267,34849,1338404,1261453,18954,8566,15683,465,1338404,242,158,285,160,230960,703405,32.83456898941577,419,14651,15070,74426.0,308013.0,286179.0,299279.0,5775,1331.0,1441.0,108.26446280991736,299.0,22.464312546957174,315.0,23.6664162283997,827.0,62.13373403456048,12684,5261,2240,438,270,1542,183,1463,6136,9531.0,3953.0,1684.0,329.0,203.0,1159.0,137.0,1100.0,18096.0,605550.0,11700.0,1.9321278176864007,5660.0,0.934687474197011,1550.0,0.2559656510610189,1300.0,0.2146808686318223,21630.0,3.5719593757740897,1430.0,0.23614895549500456,8320.0,1.3739575592436628,2579299.0,59604.0,4.327392456882088,181613.0,14202.171650707825,53815.0
20,Maryland,1173802,56126,236559749,36136729,70837704,98181542,152060724,202499680,227839320,6042718,2930350,3112368,361435,364571,385477,379728,384168,826526,775079,822740,418074,393879,546442,276084,108515,6042718,3305047,1810885,13433,378985,7311,6042718,239,153,283,155,1373420,3251245,42.24289464497446,1163202,562132,1725334,409757.0,1021847.0,1052689.0,1630565.0,79656,5967.0,6031.0,101.07256577844814,905.0,15.166750460868109,1143.0,19.1553544494721,3983.0,66.75046086810794,51330,19589,12611,1644,1055,6847,751,2877,25785,8602.0,3283.0,2113.0,276.0,177.0,1147.0,126.0,482.0,16206.0,2684010.0,124600.0,4.642307591998541,44160.0,1.6452993841304615,15500.0,0.5774941226001393,10813.0,0.40286735146292296,206360.0,7.688495944500952,12727.0,0.5024365489879546,45530.0,1.696342413031248,12774063.0,384156.0,3.3252280323618533,879601.0,14522.56534496891,69627.0
21,Massachusetts,2929874,167711,328495225,77774616,127550850,162355164,227412810,286859265,317449124,6902149,3350887,3551262,357223,369278,392598,457341,492981,990332,842140,921551,490589,450575,656546,327266,153729,6902149,5335175,537523,16198,472403,2775,6902149,251,161,297,162,1788060,3803705,47.008377358391364,2383563,1409440,3793003,454360.0,1150846.0,1105887.0,2037702.0,93217,6750.0,7183.0,106.41481481481479,1189.0,17.614814814814814,1542.0,22.844444444444445,4452.0,65.95555555555556,71274,26544,15280,2034,4503,8437,1150,5225,36629,10559.0,3933.0,2264.0,301.0,667.0,1250.0,170.0,774.0,19918.0,3571360.0,138490.0,3.8777944536535096,57710.0,1.6159110254916893,18843.846153846152,0.576131675119217,9333.75,0.26135001792034407,249400.0,6.983334080014336,19024.0,0.5866278260144744,63560.0,1.7797141705120738,16374676.0,519741.0,3.1505453677889568,964026.0,16985.720302149526,80357.0
22,Michigan,2023047,171867,301269271,50208498,93844946,127515398,194799059,258433238,290078466,9995915,4926816,5069099,569183,587011,619055,660528,690292,1291353,1165562,1290759,700756,700963,1009186,506974,204293,9995915,7825285,1376751,53012,325828,3907,9995915,236,154,278,155,1578260,4973990,31.730260816768823,1506447,928364,2434811,641536.0,1966809.0,2226818.0,1937052.0,97837,9916.0,10529.0,106.18192819685358,1853.0,18.686970552642194,2110.0,21.27874142799516,6566.0,66.21621621621621,79874,32287,17232,2626,2861,10964,2708,2706,39097,8055.0,3256.0,1738.0,265.0,288.0,1106.0,273.0,273.0,15254.0,4317830.0,110840.0,2.567030198039293,117110.0,2.7122420289821507,8170.0,0.1892154160770572,9390.0,0.2174703496895431,253850.0,5.879110571745527,8330.0,0.19292098114098985,59390.0,1.3754594321684734,16977163.0,490183.0,3.4634336564099533,1536231.0,11051.178501149892,61911.0
23,Minnesota,377850,18934,206705932,33783433,63611623,85939203,130489872,174387310,197857181,5611179,2793980,2817199,354932,360713,370367,356388,359550,759541,714967,689680,401080,355327,510486,262775,115373,5611179,4629375,367653,60983,273126,2396,5611179,250,157,294,162,1144810,3078155,37.191434479420295,1045392,625197,1670589,262401.0,930058.0,1216521.0,1322782.0,73203,5453.0,5728.0,105.04309554373738,888.0,16.28461397395929,1053.0,19.310471300201726,3787.0,69.44801026957637,48377,18396,9589,1470,2860,5206,735,4730,24590,8871.0,3373.0,1759.0,270.0,524.0,955.0,135.0,867.0,16754.0,2867700.0,92090.0,3.2112843044948924,37920.0,1.3223140495867771,9250.0,0.3225581476444537,6130.0,0.2137601562227569,154630.0,5.392126094082365,9240.0,0.3222094361334868,42520.0,1.4827213446315863,10687048.0,338638.0,3.155891542000602,864384.0,12363.773508070488,57782.0
24,Mississippi,358459,15047,61807904,8290744,17304630,24548694,38932555,52006558,58837784,2986530,1446829,1539701,177761,191591,216172,219044,204679,379027,380696,359664,190823,192650,284356,143707,46360,2986530,1735455,1135599,13234,26142,1372,2986530,234,140,271,140,342455,1326205,25.822176812785354,311160,166142,477302,316345.0,596564.0,625228.0,429177.0,12865,2992.0,2752.0,91.97860962566843,549.0,18.348930481283425,683.0,22.827540106951872,1520.0,50.80213903743316,22879,9658,4682,568,635,3386,493,1353,11117,7646.0,3228.0,1565.0,190.0,212.0,1132.0,165.0,452.0,14590.0,1123830.0,11910.0,1.0597688262459624,8780.0,0.7812569516741856,2490.0,0.2215637596433624,1740.0,0.15482768746162676,26270.0,2.3375421549522617,1350.0,0.1201249299271242,10120.0,0.9004920673055533,4234977.0,106891.0,3.961958443648202,487200.0,8692.481527093596,44926.0
