,State,cases,White Cases,Black or African American Cases,Asian Cases,American Indian and Alaska Native Cases,Native Hawaiian and Other Pacific Islander Cases,Hispanic or Latino Cases,Total Population,White Population,Black or African American Population,American Indian and Alaska Native Population,Asian Population,Native Hawaiian and Other Pacific Islander Population,Hispanic or Latino Population,White Cases Per 100K,Black or African American Cases Per 100K,Asian Cases Per 100K,American Indian and Alaska Native Cases Per 100K,Native Hawaiian and Other Pacific Islander Cases Per 100K,Hispanic or Latino Cases Per 100K
32,New Mexico,15028,1911,284,105,6661,0,5202,2095428,1599938,46064,200659,34155,2465,212147,119.44212838247482,616.5335185828412,307.42204655248133,3319.562043068091,0.0,2452.0733265141625
33,Nevada,27683,4480,1261,1164,87,0,6129,3034392,1924976,280385,44666,250137,19612,514616,232.73017429827698,449.7387520730424,465.3449909449622,194.77902655263512,0.0,1190.9851228877453
34,New York,401706,0,0,0,0,0,0,19542209,12375601,3069259,84312,1666113,9424,2337500,0.0,0.0,0.0,0.0,0.0,0.0
35,Ohio,65592,31118,17437,1904,78,125,4702,11689442,9470940,1446306,25672,271762,4228,470534,328.56295151273264,1205.6231530533648,700.613036406856,303.8329697725148,2956.480605487228,999.290168191884
36,Oklahoma,20235,11379,1530,1408,1429,0,4189,3943079,2845906,287680,307183,84694,3859,413757,399.83752098628696,531.8409343715239,1662.4554277752852,465.19501404700134,0.0,1012.4300011842699
37,Oregon,11454,4760,485,394,262,327,4208,4190713,3514983,82046,49051,190680,18758,335195,135.42028510521956,591.1318041098896,206.62890706943568,534.1379380644635,1743.2562106834419,1255.3886543653693
38,Pennsylvania,92148,28200,11900,1300,0,0,7400,12807060,10256084,1428406,21418,455027,5008,641117,274.9587464377242,833.0964725715238,285.69733224621837,0.0,0.0,1154.2354983567743
39,Rhode Island,17312,4616,1592,0,0,0,5899,1057315,852805,70749,4341,36064,883,92473,541.2726238706387,2250.2084835121345,0.0,0.0,0.0,6379.159322180529
40,South Carolina,56648,18552,12905,403,0,0,5305,5084127,3407706,1353599,23672,80969,4004,214177,544.4131624030946,953.3842740723065,497.7213501463523,0.0,0.0,2476.9232924170196
41,South Dakota,7499,2716,985,715,1206,0,1126,882235,740870,19057,78068,15023,51,29166,366.5960289929408,5168.70441307656,4759.368967583039,1544.8070912537787,0.0,3860.6596722210793
42,Tennessee,61960,25886,12551,710,78,56,13846,6770010,5235588,1137801,19136,119046,5494,252945,494.42393098922224,1103.092720080225,596.4081111503116,407.6086956521739,1019.2937750273026,5473.917254739173
43,Texas,258658,6335,2914,641,0,0,10090,28701845,21099066,3527027,149997,1430857,21463,2473435,30.02502575232477,82.6191577212196,44.798327156382506,0.0,0.0,407.93471427387414
44,Utah,29484,10959,747,650,686,1141,12072,3161105,2708195,40365,34678,75898,29362,272607,404.6606688218536,1850.613154960981,856.4125536904794,1978.1994348001615,3885.9750698181324,4428.352903630501
45,Virginia,70670,15385,10773,2275,84,0,23343,8517685,5737580,1631512,22265,555422,5659,565247,268.14440931542566,660.3077390788422,409.5984674715802,377.27374803503255,0.0,4129.699051918896
46,Vermont,1296,1068,143,53,2,0,44,626299,589337,7621,1743,11859,139,15600,181.22059195333063,1876.3941739929141,446.91795260983224,114.74469305794607,0.0,282.0512820512821
47,Washington,39218,10048,1520,1545,457,838,12295,7535591,5633263,291808,97329,661781,53924,797486,178.36909088036543,520.8904485140914,233.4609183400551,469.54145218793985,1554.0390178770122,1541.7198546432164
48,Wisconsin,39877,23372,6462,1382,361,0,10779,5813568,4957243,370632,50364,165380,1961,267988,471.4717434670845,1743.508385676358,835.6512274761157,716.7818282900485,0.0,4022.195023657776
49,West Virginia,4244,3343,298,0,0,0,0,1805832,1679773,68679,2629,13459,451,40841,199.0149859534592,433.90264855341513,0.0,0.0,0.0,0.0
50,Wyoming,1862,864,19,9,337,4,236,577737,528453,3667,16185,5807,1111,22514,163.49609142156444,518.1347150259068,154.98536249354228,2082.1748532591905,360.03600360036,1048.2366527494003
