,State,cases,deaths,All Occupations 2018,Computer Mathematical Scientists 2018,Computer Mathematical Scientists 2018 (Percent),Engineers 2018,Engineers 2018 (Percent),Life Scientists 2018,Life Scientists 2018 (Percent),Physical Scientists 2018,Physical Scientists 2018 (Percent),Science Engineer Workers 2018,Science Engineer Workers 2018 (Percent),Social Scientists 2018,Social Scientists 2018 (Percent),Technical Workers 2018,Technical Workers 2018 (Percent)
11,Hawaii,31433,681,641790.0,9760.0,1.5207466616806116,5910.0,0.9208619641938952,1610.0,0.25086087349444525,1630.0,,21400.0,3.334424032783309,2480.0,0.3864192337057293,6750.0,1.051745898190997
12,Idaho,103987,2828,706140.0,14260.0,2.0194295748718383,10000.0,1.4161497719998866,2790.0,0.3951057863879684,1840.0,,30230.0,4.2810207607556565,1340.0,0.1897640694479848,12110.0,1.7149573738918629
13,Illinois,2843621,122000,5991270.0,168130.0,2.8062497600675647,60950.0,1.0173135245114977,11260.0,0.18794011954059825,10752.142857142857,,263930.0,4.405242961842816,17755.714285714286,0.30741666123275474,76790.0,1.281698204220474
14,Indiana,920434,53042,3048100.0,55720.0,1.828024014960139,37300.0,1.2237131327712345,7000.0,0.2296512581608215,5850.0,,93489.28571428572,3.2442058704516774,6471.538461538462,0.2252846261957996,36160.71428571428,1.2556650228741661
15,Iowa,396980,9203,1541700.0,35510.0,2.3033015502367515,13210.0,0.8568463384575469,5060.0,0.3282091198028151,1670.0,,58180.0,3.7737562431082567,2740.0,0.17772588700784847,20830.0,1.3511059220341182
16,Kansas,231885,6527,1375380.0,33320.0,2.4226032078407416,16700.0,1.2142098910846455,2640.0,0.1919469528421236,2280.0,,57720.0,4.196658378048248,2790.0,0.20285302970815344,15790.0,1.1480463580973983
17,Kentucky,246480,11851,1889870.0,31800.0,1.6826554207432256,18850.0,0.9974231031764088,2430.0,0.12858027271717098,2540.0,,59080.0,3.1261409514940177,3460.0,0.1830813759676592,17190.0,0.9095863736659136
18,Louisiana,1443404,90609,1913770.0,18700.0,0.9771289130877796,18880.0,0.9865344320372876,2620.0,0.1369025535983948,3370.0,,46240.0,2.4161733123625098,2680.0,0.14003772658156413,23580.0,1.2321229823855533
19,Maine,61284,2451,605550.0,11700.0,1.9321278176864007,5660.0,0.934687474197011,1550.0,0.2559656510610189,1300.0,,21630.0,3.5719593757740897,1430.0,0.23614895549500456,8320.0,1.3739575592436628
20,Maryland,1173802,56126,2684010.0,124600.0,4.642307591998541,44160.0,1.6452993841304615,15500.0,0.5774941226001393,10813.0,,206360.0,7.688495944500952,12727.0,0.5024365489879546,45530.0,1.696342413031248
21,Massachusetts,2929874,167711,3571360.0,138490.0,3.8777944536535096,57710.0,1.6159110254916893,18843.846153846152,0.576131675119217,9333.75,,249400.0,6.983334080014336,19024.0,0.5866278260144744,63560.0,1.7797141705120738
