,State,Total population_Male,Total population_Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic or Latino,cases,deaths
37,Oregon,2079943,2110770,230515,236914,253861,252056,264987,592655,556833,519480,267232,276569,447596,210633,81382,3514983,82046,49051,190680,18758,335195,6105,182
38,Pennsylvania,6271620,6535440,700416,708163,775827,815621,812406,1695073,1496113,1659541,916749,894782,1311159,707570,313640,10256084,1428406,21418,455027,5008,641117,84077,6337
39,Rhode Island,515900,541415,54430,56691,55343,74635,75521,146349,123137,140006,73211,75347,103271,52915,26459,852805,70749,4341,36064,883,92473,16164,865
40,South Carolina,2468707,2615420,287356,307540,323598,340480,332798,654355,623363,637009,349353,328521,553062,261920,84772,3407706,1353599,23672,80969,4004,214177,19990,607
41,South Dakota,445271,436964,60427,58765,61566,59836,58791,116300,105167,97263,58813,58949,85022,39575,21761,740870,19057,78068,15023,51,29166,5966,77
42,Tennessee,3302191,3467819,404439,413172,434765,439465,437346,914783,846438,883961,445131,445713,658560,332775,113462,5235588,1137801,19136,119046,5494,252945,31623,487
43,Texas,14250184,14451661,2010781,1984419,2171522,2069341,1988685,4181960,3910623,3550999,1694490,1539426,2174294,1042370,382935,21099066,3527027,149997,1430857,21463,2473435,95973,2057
44,Utah,1592457,1568648,250194,257110,270952,250173,260774,463344,437953,319031,152425,147852,212206,103828,35263,2708195,40365,34678,75898,29362,272607,15077,145
45,Vermont,308118,318181,28810,32019,33938,42229,43479,75058,70113,80695,47049,49034,75755,34971,13149,589337,7621,1743,11859,139,15600,1131,55
46,Virginia,4190738,4326947,502102,514779,534414,564667,579716,1170188,1114566,1115695,574308,529025,779502,390537,148186,5737580,1631512,22265,555422,5659,565247,55331,1570
47,Washington,3766859,3768732,458194,466487,468155,452515,475177,1153369,1006328,930921,488025,472433,710781,325150,128056,5633263,291808,97329,661781,53924,797486,27949,1234
48,West Virginia,894657,911175,93922,97203,107390,112776,113760,209002,218803,233109,127449,131202,215290,105707,40219,1679773,68679,2629,13459,451,40841,2341,88
49,Wisconsin,2891282,2922286,330651,342754,374768,378566,394807,735765,706676,738357,419486,405255,571672,290056,124755,4957243,370632,50364,165380,1961,267988,23328,704
50,Wyoming,292619,285118,35395,34937,40645,40744,32880,77254,72405,67487,38002,41431,59467,27832,9258,528453,3667,16185,5807,1111,22514,1089,18
