State,Total Population,Total population_Male,Total population_Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,RACE_Total population,White,Black or African American,American Indian and Alaska Native,Asian,Asian Indian,Asian Chinese,Asian Filipino,Asian Japanese,Asian Korean,Asian Vietnamese,Other Asian,Native Hawaiian and Other Pacific Islander,Some other race,Total population!!White,Total population_Black or African American,Total population_American Indian and Alaska Native,Total population_Asian,Total population_Native Hawaiian and Other Pacific Islander,Total population_Some other race,Total population_HISPANIC OR LATINO,Total population_Not Hispanic or Latino
South Dakota,882235,445271,436964,60427,58765,61566,59836,58791,116300,105167,97263,58813,58949,85022,39575,21761,882235,740870,19057,78068,15023,3533,1107,1473,250,763,930,6967,51,5782,763432,26781,92049,17534,819,6550,882235,848252
Alabama,4887871,2369271,2518600,288589,290369,321430,332209,317810,635976,593480,626173,332700,319472,493396,251025,85242,4887871,3306838,1307040,22063,65095,14401,9858,5941,2921,10238,10185,11551,1797,84027,3394273,1349621,62780,89230,5925,93147,4887871,4676386
Indiana,6691878,3295973,3395905,417774,430155,451395,459222,465439,874246,826473,841750,447600,426678,613699,310870,126577,6691878,5539927,637277,14040,154220,43709,33644,14346,5519,9780,10075,37147,3470,162303,5703463,739547,48290,193559,11281,191174,6691878,6219459
Kentucky,4468402,2199021,2269381,273489,279978,285833,288944,300744,579520,553107,575373,304711,295311,435465,217279,78648,4468402,3875023,354761,8470,65300,14340,13302,6224,4806,5148,5819,15661,4943,51887,3974518,422416,29444,87095,9563,62137,4468402,4306896
Louisiana,4659978,2276530,2383448,301857,297439,317930,308126,308893,645255,589714,567313,303589,299252,434897,211869,73844,4659978,2877115,1509407,25657,76255,9858,11547,11479,1172,2534,29392,10273,1133,65366,2966465,1565302,58123,101220,6181,75404,4659978,4420024
Tennessee,6770010,3302191,3467819,404439,413172,434765,439465,437346,914783,846438,883961,445131,445713,658560,332775,113462,6770010,5235588,1137801,19136,119046,26391,21534,11865,5158,9488,14882,29728,5494,101153,5373382,1217973,55944,155876,12962,115232,6770010,6397109
Vermont,626299,308118,318181,28810,32019,33938,42229,43479,75058,70113,80695,47049,49034,75755,34971,13149,626299,589337,7621,1743,11859,922,3587,1428,208,1623,427,3664,139,2815,600494,12187,7315,15706,806,3240,626299,613849
Washington,7535591,3766859,3768732,458194,466487,468155,452515,475177,1153369,1006328,930921,488025,472433,710781,325150,128056,7535591,5633263,291808,97329,661781,128356,150344,100877,38846,66990,84125,92243,53924,344853,6041370,422547,226088,857031,95373,398348,7535591,6565238
Michigan,9995915,4926816,5069099,569183,587011,619055,660528,690292,1291353,1165562,1290759,700756,700963,1009186,506974,204293,9995915,7825285,1376751,53012,325828,117983,60872,26962,13900,27174,21132,57805,3907,118467,8092824,1519646,146197,393744,11157,145988,9995915,9478534
Nebraska,1929268,961213,968055,131156,129861,136769,132609,132433,256755,244896,218816,122864,119111,172853,89193,41952,1929268,1666990,91221,18555,45779,8337,5710,4832,1632,3833,7132,14303,1289,46473,1720346,114414,35790,63282,3142,55747,1929268,1714785
